OS;Local;Descricao;Data Abertura;InicioProg;TerminoProg;TempoPrevisto;InicioReal;TerminoReal;TempoParada;Prioridade;Oficina;Tipo;MP;Status
OS90751;REM01-2000-2200-X000004;Corretiva banco;07/04/2021;;;1,12;22/04/2021;22/04/2021;1,12;B;Mecânica;Corretiva;;FECH
OS90752;REM01-1000-1200-F000001;Corretiva banco;07/04/2021;;;1,55;22/04/2021;22/04/2021;1,55;B;Mecânica;Corretiva;;FECH
OS90753;REM01-1000-1100-E000002;Corretiva banco;03/07/2021;;;1,88;18/07/2021;18/07/2021;1,88;B;Elétrica;Corretiva;;FECH
OS90754;REM01-2000-2100-X000005;Corretiva banco;23/05/2021;;;3,88;07/06/2021;07/06/2021;3,88;B;Elétrica;Corretiva;;FECH
OS90755;REM01-1000-1100-E000001;Corretiva banco;25/06/2021;;;1,22;10/07/2021;10/07/2021;1,22;B;Elétrica;Corretiva;;FECH
OS90756;REM01-1000-1100-E000006;Corretiva banco;08/04/2021;;;2,03;23/04/2021;23/04/2021;2,03;B;Mecânica;Corretiva;;FECH
OS90757;REM01-1000-1200-E000006;Corretiva banco;04/07/2021;;;1,17;19/07/2021;19/07/2021;1,17;B;Mecânica;Corretiva;;FECH
OS90758;REM01-2000-2200-X000005;Corretiva banco;08/01/2021;;;3,73;28/01/2021;28/01/2021;3,73;B;Automação;Corretiva;;FECH
OS90759;REM01-2000-2200-X000004;Corretiva banco;07/10/2021;;;1,75;22/10/2021;22/10/2021;1,75;B;Mecânica;Corretiva;;FECH
OS90760;REM01-3000-3100-C000001;Corretiva banco;14/05/2021;;;2,7;04/06/2021;04/06/2021;2,7;B;Elétrica;Corretiva;;FECH
OS90761;REM01-1000-1200-E000003;Corretiva banco;23/08/2021;;;4,33;20/09/2021;20/09/2021;4,12;B;Mecânica;Corretiva;;FECH
OS90762;REM01-1000-1200-F000002;Corretiva banco;18/08/2021;;;2,92;02/09/2021;02/09/2021;2,92;B;Elétrica;Corretiva;;FECH
OS90763;REM01-3000-3100-C000002;Corretiva banco;23/02/2021;;;1,12;15/03/2021;15/03/2021;0,65;B;Elétrica;Corretiva;;FECH
OS90764;REM01-2000-2100-X000004;Corretiva banco;19/01/2021;;;1,55;03/03/2021;03/03/2021;1,8;B;Mecânica;Corretiva;;FECH
OS90765;REM01-1000-1100-E000002;Corretiva banco;07/02/2021;;;3,73;17/03/2021;17/03/2021;3,27;B;Mecânica;Corretiva;;FECH
OS90766;REM01-3000-3100-C000001;Corretiva banco;23/04/2021;;;2,03;08/05/2021;08/05/2021;2,53;B;Mecânica;Corretiva;;FECH
OS90767;REM01-1000-2200-F000001;Corretiva banco;06/09/2021;;;1,98;21/09/2021;21/09/2021;1,98;B;Mecânica;Corretiva;;FECH
OS90768;REM01-1000-1100-E000003;Corretiva banco;02/05/2021;;;1,17;30/05/2021;31/05/2021;1,42;B;Elétrica;Corretiva;;FECH
OS90769;REM01-2000-2100-X000001;Corretiva banco;21/06/2021;;;4,53;06/07/2021;06/07/2021;4,53;B;Elétrica;Corretiva;;FECH
OS90770;REM01-2000-2200-X000006;Corretiva banco;14/10/2021;;;4,97;29/10/2021;29/10/2021;4,97;B;Automação;Corretiva;;FECH
OS90771;REM01-3000-3100-C000001;Corretiva banco;15/04/2021;;;4,87;30/04/2021;30/04/2021;4,87;B;Elétrica;Corretiva;;FECH
OS90772;REM01-3000-3300-C000001;Corretiva banco;01/09/2021;;;2,75;27/09/2021;27/09/2021;3;B;Elétrica;Corretiva;;FECH
OS90773;REM01-1000-1100-E000003;Corretiva banco;14/02/2021;;;1,48;30/04/2021;30/04/2021;1,48;B;Mecânica;Corretiva;;FECH
OS90774;REM01-3000-3100-C000002;Corretiva banco;31/10/2021;;;3,12;15/11/2021;15/11/2021;3,12;B;Mecânica;Corretiva;;FECH
OS90775;REM01-1000-1100-E000005;Corretiva banco;30/07/2021;;;3,8;14/08/2021;14/08/2021;3,8;B;Mecânica;Corretiva;;FECH
OS90776;REM01-3000-3200-T000001;Corretiva banco;18/07/2021;;;0,98;18/08/2021;18/08/2021;0,75;B;Mecânica;Corretiva;;FECH
OS90777;REM01-3000-3100-C000001;Corretiva banco;06/06/2021;;;1,27;21/06/2021;21/06/2021;1,27;B;Mecânica;Corretiva;;FECH
OS90778;REM01-1000-1200-F000002;Corretiva banco;11/02/2021;;;1,05;26/03/2021;26/03/2021;0,82;B;Mecânica;Corretiva;;FECH
OS90779;REM01-3000-3200-T000002;Corretiva banco;25/07/2021;;;2,13;15/08/2021;16/08/2021;2,62;B;Mecânica;Corretiva;;FECH
OS90780;REM01-2000-2100-X000005;Corretiva banco;02/02/2021;;;3,2;19/02/2021;20/02/2021;3,47;B;Elétrica;Corretiva;;FECH
OS90781;REM01-2000-2100-X000005;Corretiva banco;18/04/2021;;;4,62;10/05/2021;10/05/2021;4,88;B;Mecânica;Corretiva;;FECH
OS90782;REM01-1000-1200-F000002;Corretiva banco;08/05/2021;;;3,55;28/05/2021;28/05/2021;3,57;B;Elétrica;Corretiva;;FECH
OS90783;REM01-1000-1200-F000001;Corretiva banco;08/10/2021;;;4,02;23/10/2021;23/10/2021;4,02;B;Elétrica;Corretiva;;FECH
OS90784;REM01-3000-3200-T000002;Corretiva banco;21/01/2021;;;2,3;18/02/2021;18/02/2021;2,55;B;Mecânica;Corretiva;;FECH
OS90785;REM01-3000-3100-C000002;Corretiva banco;17/10/2021;;;2;15/11/2021;15/11/2021;1,78;B;Elétrica;Corretiva;;FECH
OS90786;REM01-1000-1200-E000006;Corretiva banco;23/09/2021;;;1,58;19/10/2021;19/10/2021;1,12;B;Elétrica;Corretiva;;CONC
OS90787;REM01-1000-1100-E000002;Corretiva banco;15/05/2021;;;4,88;22/05/2021;22/05/2021;4,42;B;Mecânica;Corretiva;;FECH
OS90788;REM01-2000-2100-X000005;Corretiva banco;24/06/2021;;;4,07;09/07/2021;09/07/2021;4,07;B;Elétrica;Corretiva;;FECH
OS90789;REM01-3000-3200-T000002;Corretiva banco;02/05/2021;;;4,02;27/05/2021;27/05/2021;4,28;B;Mecânica;Corretiva;;FECH
OS90790;REM01-2000-2100-X000005;Corretiva banco;30/06/2021;;;4,83;15/07/2021;16/07/2021;4,83;B;Mecânica;Corretiva;;FECH
OS90791;REM01-2000-2100-X000006;Corretiva banco;05/07/2021;;;1;28/07/2021;28/07/2021;1,02;B;Mecânica;Corretiva;;FECH
OS90792;REM01-1000-1100-E000002;Corretiva banco;24/02/2021;;;2,73;11/04/2021;11/04/2021;2,5;B;Automação;Corretiva;;FECH
OS90793;REM01-1000-1100-E000002;Corretiva banco;06/01/2021;;;4,2;25/02/2021;25/02/2021;4,93;B;Elétrica;Corretiva;;FECH
OS90794;REM01-2000-2200-X000003;Corretiva banco;28/03/2021;;;3,6;09/05/2021;09/05/2021;3,13;B;Mecânica;Corretiva;;FECH
OS90795;REM01-3000-3200-T000002;Corretiva banco;17/06/2021;;;4,23;20/07/2021;20/07/2021;3,78;B;Elétrica;Corretiva;;FECH
OS90796;REM01-2000-2100-X000005;Corretiva banco;21/06/2021;;;4,82;21/07/2021;21/07/2021;4,83;B;Elétrica;Corretiva;;FECH
OS90797;REM01-2000-2100-X000006;Corretiva banco;03/05/2021;;;4,83;18/05/2021;18/05/2021;5,58;B;Elétrica;Corretiva;;FECH
OS90798;REM01-1000-1200-E000003;Corretiva banco;13/11/2021;;;3,38;28/11/2021;28/11/2021;3,38;B;Mecânica;Corretiva;;FECH
OS90799;REM01-2000-2200-X000005;Corretiva banco;29/06/2021;;;3,77;25/07/2021;26/07/2021;4,25;B;Mecânica;Corretiva;;FECH
OS90800;REM01-1000-2200-F000001;Corretiva banco;25/10/2021;;;4,82;09/11/2021;09/11/2021;4,82;B;Mecânica;Corretiva;;FECH
OS90801;REM01-2000-2200-X000004;Corretiva banco;29/01/2021;;;1,5;18/02/2021;18/02/2021;1,5;B;Mecânica;Corretiva;;FECH
OS90802;REM01-2000-2100-X000005;Corretiva banco;09/03/2021;;;1,5;08/04/2021;08/04/2021;1,5;B;Mecânica;Corretiva;;FECH
OS90803;REM01-1000-1200-E000004;Corretiva banco;24/06/2021;;;3,13;27/07/2021;27/07/2021;3,63;B;Mecânica;Corretiva;;FECH
OS90804;REM01-2000-2100-X000003;Corretiva banco;20/04/2021;;;4,15;11/05/2021;12/05/2021;4,4;B;Mecânica;Corretiva;;FECH
OS90805;REM01-1000-1200-E000002;Corretiva banco;02/11/2021;;;1,2;27/11/2021;27/11/2021;0,73;B;Mecânica;Corretiva;;FECH
OS90806;REM01-2000-2100-X000002;Corretiva banco;05/08/2021;;;1,7;26/08/2021;26/08/2021;2,2;B;Elétrica;Corretiva;;FECH
OS90807;REM01-2000-2200-X000003;Corretiva banco;11/11/2021;;;1,83;26/11/2021;26/11/2021;1,83;B;Automação;Corretiva;;FECH
OS90808;REM01-3000-3100-C000001;Corretiva banco;11/02/2021;;;2,1;03/11/2021;03/11/2021;2,1;B;Elétrica;Corretiva;;FECH
OS90809;REM01-1000-1100-E000003;Corretiva banco;10/07/2021;;;2,85;23/10/2021;23/10/2021;2,85;B;Mecânica;Corretiva;;FECH
OS90810;REM01-2000-2200-X000006;Corretiva banco;19/12/2020;;;1,62;30/01/2021;30/01/2021;2,37;B;Mecânica;Corretiva;;FECH
OS90811;REM01-3000-3100-C000002;Corretiva banco;04/09/2021;;;3,95;22/09/2021;22/09/2021;3,48;B;Mecânica;Corretiva;;FECH
OS90812;REM01-2000-2100-X000004;Corretiva banco;01/05/2021;;;1,98;19/05/2021;20/05/2021;2,72;B;Elétrica;Corretiva;;FECH
OS90813;REM01-1000-1100-E000006;Corretiva banco;16/01/2021;;;2,35;17/02/2021;17/02/2021;1,88;B;Automação;Corretiva;;FECH
OS90814;REM01-2000-2100-X000005;Corretiva banco;20/04/2021;;;3,3;29/05/2021;29/05/2021;4,03;B;Mecânica;Corretiva;;FECH
OS90815;REM01-1000-1200-E000002;Corretiva banco;07/08/2021;;;4,15;22/08/2021;22/08/2021;4,15;B;Elétrica;Corretiva;;FECH
OS90816;REM01-1000-1200-F000001;Corretiva banco;03/04/2021;;;3,28;18/04/2021;18/04/2021;3,28;B;Mecânica;Corretiva;;FECH
OS90817;REM01-1000-1100-E000002;Corretiva banco;09/08/2021;;;1,2;31/08/2021;31/08/2021;1,68;B;Mecânica;Corretiva;;FECH
OS90818;REM01-3000-3200-T000001;Corretiva banco;21/06/2021;;;2,47;07/07/2021;07/07/2021;2,23;B;Elétrica;Corretiva;;FECH
OS90819;REM01-2000-2200-X000004;Corretiva banco;20/12/2020;;;4,67;29/01/2021;29/01/2021;4,45;B;Mecânica;Corretiva;;FECH
OS90820;REM01-1000-1200-E000003;Corretiva banco;09/08/2021;;;3,52;24/08/2021;24/08/2021;3,52;B;Mecânica;Corretiva;;FECH
OS90821;REM01-2000-2100-X000003;Corretiva banco;21/12/2020;;;3,95;12/09/2021;12/09/2021;3,95;B;Mecânica;Corretiva;;FECH
OS90822;REM01-1000-2200-F000001;Corretiva banco;17/03/2021;;;1,2;28/09/2021;28/09/2021;1,2;B;Mecânica;Corretiva;;FECH
OS90823;REM01-1000-1200-E000003;Corretiva banco;04/11/2021;;;4,62;19/11/2021;19/11/2021;4,62;B;Mecânica;Corretiva;;FECH
OS90824;REM01-2000-2100-X000003;Corretiva banco;09/06/2021;;;1,97;30/06/2021;30/06/2021;1,98;B;Mecânica;Corretiva;;FECH
OS90825;REM01-1000-1200-E000005;Corretiva banco;19/01/2021;;;3;21/02/2021;21/02/2021;3,73;B;Mecânica;Corretiva;;FECH
OS90826;REM01-3000-3300-C000001;Corretiva banco;19/03/2021;;;4,67;16/04/2021;16/04/2021;4,93;B;Elétrica;Corretiva;;FECH
OS90827;REM01-2000-2200-X000003;Corretiva banco;20/08/2021;;;4,97;15/09/2021;15/09/2021;5,7;B;Automação;Corretiva;;FECH
OS90828;REM01-1000-1100-E000001;Corretiva banco;14/07/2021;;;2,3;29/07/2021;29/07/2021;2,3;B;Mecânica;Corretiva;;FECH
OS90829;REM01-2000-2200-X000006;Corretiva banco;28/11/2021;;;4,32;28/12/2021;29/12/2021;4,08;B;Mecânica;Corretiva;;FECH
OS90830;REM01-3000-3300-C000001;Corretiva banco;17/08/2021;;;1,55;01/09/2021;01/09/2021;1,55;B;Elétrica;Corretiva;;FECH
OS90831;REM01-1000-1100-E000006;Corretiva banco;04/01/2021;;;3,08;26/09/2021;26/09/2021;3,08;B;Elétrica;Corretiva;;FECH
OS90832;REM01-1000-1200-E000005;Corretiva banco;08/02/2021;;;4,33;28/02/2021;28/02/2021;4,33;B;Mecânica;Corretiva;;FECH
OS90833;REM01-1000-1100-E000004;Corretiva banco;25/06/2021;;;2,58;10/07/2021;10/07/2021;2,58;B;Automação;Corretiva;;FECH
OS90834;REM01-2000-2100-X000003;Corretiva banco;28/08/2021;;;1,12;18/09/2021;18/09/2021;1,85;B;Automação;Corretiva;;FECH
OS90835;REM01-1000-1200-E000005;Corretiva banco;06/12/2021;;;4,67;28/12/2021;29/12/2021;5,4;B;Automação;Corretiva;;FECH
OS90836;REM01-2000-2100-X000003;Corretiva banco;17/08/2021;;;3,33;28/09/2021;28/09/2021;2,87;B;Elétrica;Corretiva;;FECH
OS90837;REM01-2000-2200-X000005;Corretiva banco;24/05/2021;;;1,92;22/06/2021;23/06/2021;1,45;B;Mecânica;Corretiva;;FECH
OS90838;REM01-2000-2100-X000002;Corretiva banco;05/01/2021;;;1,62;23/02/2021;23/02/2021;1,88;B;Mecânica;Corretiva;;FECH
OS90839;REM01-1000-1200-E000006;Corretiva banco;10/07/2021;;;2,42;25/07/2021;26/07/2021;2,42;B;Mecânica;Corretiva;;FECH
OS90840;REM01-2000-2200-X000003;Corretiva banco;27/08/2021;;;1,17;27/09/2021;27/09/2021;0,95;B;Mecânica;Corretiva;;FECH
OS90841;REM01-1000-2200-F000002;Corretiva banco;27/05/2021;;;1,97;18/06/2021;18/06/2021;2,45;B;Mecânica;Corretiva;;FECH
OS90842;REM01-3000-3200-T000001;Corretiva banco;03/06/2021;;;1,43;18/06/2021;18/06/2021;1,43;B;Elétrica;Corretiva;;FECH
OS90843;REM01-3000-3300-C000001;Corretiva banco;09/02/2021;;;4,75;01/11/2021;01/11/2021;4,75;B;Elétrica;Corretiva;;FECH
OS90844;REM01-2000-2200-X000003;Corretiva banco;01/03/2021;;;1,48;05/04/2021;05/04/2021;1,73;B;Elétrica;Corretiva;;FECH
OS90845;REM01-1000-1100-E000006;Corretiva banco;19/03/2021;;;1,48;06/04/2021;06/04/2021;1,02;B;Mecânica;Corretiva;;FECH
OS90846;REM01-1000-1100-E000001;Corretiva banco;15/09/2021;;;1,88;30/09/2021;30/09/2021;1,88;B;Mecânica;Corretiva;;FECH
OS90847;REM01-2000-2100-X000005;Corretiva banco;27/06/2021;;;1,92;12/07/2021;12/07/2021;1,92;B;Elétrica;Corretiva;;FECH
OS90848;REM01-2000-2100-X000001;Corretiva banco;19/01/2021;;;1,23;05/02/2021;06/02/2021;1,02;B;Mecânica;Corretiva;;FECH
OS90849;REM01-1000-1100-E000001;Corretiva banco;25/05/2021;;;1,23;26/06/2021;26/06/2021;1,25;B;Mecânica;Corretiva;;FECH
OS90850;REM01-1000-1200-E000001;Corretiva banco;27/12/2020;;;3,68;31/01/2021;31/01/2021;3,47;B;Automação;Corretiva;;FECH
OS90851;REM01-2000-2100-X000003;Corretiva banco;08/01/2021;;;2,22;21/02/2021;22/02/2021;2;B;Mecânica;Corretiva;;FECH
OS90852;REM01-1000-1100-E000006;Corretiva banco;27/11/2021;;;4,15;12/12/2021;12/12/2021;4,15;B;Elétrica;Corretiva;;FECH
OS90853;REM01-1000-1200-E000005;Corretiva banco;23/11/2021;;;2,95;17/12/2021;17/12/2021;2,97;B;Mecânica;Corretiva;;FECH
OS90854;REM01-3000-3100-C000001;Corretiva banco;24/06/2021;;;3,67;09/07/2021;09/07/2021;3,67;B;Mecânica;Corretiva;;FECH
OS90855;REM01-2000-2200-X000006;Corretiva banco;21/11/2021;;;1,65;25/12/2021;25/12/2021;1,9;B;Mecânica;Corretiva;;FECH
OS90856;REM01-2000-2200-X000002;Corretiva banco;11/12/2021;;;3,4;26/12/2021;26/12/2021;3,4;B;Mecânica;Corretiva;;FECH
OS90857;REM01-2000-2200-X000003;Corretiva banco;14/09/2021;;;1,43;29/09/2021;29/09/2021;1,43;B;Automação;Corretiva;;FECH
OS90858;REM01-1000-1200-E000006;Corretiva banco;26/01/2021;;;3,55;15/02/2021;16/02/2021;3,8;B;Elétrica;Corretiva;;FECH
OS90859;REM01-3000-3200-T000002;Corretiva banco;19/03/2021;;;3,88;20/04/2021;20/04/2021;3,9;B;Elétrica;Corretiva;;FECH
OS90860;REM01-2000-2200-X000004;Corretiva banco;26/06/2021;;;4,15;25/07/2021;25/07/2021;4,88;B;Elétrica;Corretiva;;FECH
OS90861;REM01-1000-1200-E000004;Corretiva banco;09/09/2021;;;1,22;24/09/2021;24/09/2021;1,22;B;Elétrica;Corretiva;;FECH
OS90862;REM01-1000-1200-E000001;Corretiva banco;03/06/2021;;;2,37;24/06/2021;24/06/2021;1,9;B;Elétrica;Corretiva;;FECH
OS90863;REM01-1000-2200-F000002;Corretiva banco;04/01/2021;;;4,07;15/02/2021;16/02/2021;4,33;B;Automação;Corretiva;;FECH
OS90864;REM01-2000-2100-X000004;Corretiva banco;02/12/2021;;;3,33;17/12/2021;17/12/2021;3,33;B;Elétrica;Corretiva;;FECH
OS90865;REM01-1000-1200-E000002;Corretiva banco;22/03/2021;;;4,5;20/04/2021;21/04/2021;5;B;Mecânica;Corretiva;;FECH
OS90866;REM01-1000-1200-E000006;Corretiva banco;14/07/2021;;;3,07;29/07/2021;29/07/2021;3,07;B;Mecânica;Corretiva;;FECH
OS90867;REM01-1000-1200-E000001;Corretiva banco;13/08/2021;;;4,7;28/08/2021;29/08/2021;4,7;B;Mecânica;Corretiva;;FECH
OS90868;REM01-1000-1200-E000003;Corretiva banco;30/03/2021;;;4,98;01/05/2021;02/05/2021;5,23;B;Elétrica;Corretiva;;FECH
OS90869;REM01-3000-3200-T000002;Corretiva banco;05/01/2021;;;3,18;17/02/2021;18/02/2021;3,43;B;Mecânica;Corretiva;;FECH
OS90870;REM01-2000-2100-X000002;Corretiva banco;20/11/2021;;;2;19/12/2021;20/12/2021;1,78;B;Mecânica;Corretiva;;FECH
OS90871;REM01-3000-3200-T000002;Corretiva banco;17/12/2020;;;4,72;06/01/2021;06/01/2021;4,72;B;Elétrica;Corretiva;;FECH
OS90872;REM01-1000-1200-E000001;Corretiva banco;08/04/2021;;;1;14/05/2021;14/05/2021;0,53;B;Mecânica;Corretiva;;FECH
OS90873;REM01-2000-2200-X000006;Corretiva banco;19/06/2021;;;1,45;06/07/2021;06/07/2021;1,95;B;Mecânica;Corretiva;;FECH
OS90874;REM01-2000-2200-X000005;Corretiva banco;04/08/2021;;;2,47;19/08/2021;19/08/2021;2,47;B;Mecânica;Corretiva;;FECH
OS90875;REM01-1000-1100-E000003;Corretiva banco;14/03/2021;;;3,63;07/04/2021;07/04/2021;4,38;B;Mecânica;Corretiva;;FECH
OS90876;REM01-1000-1200-E000006;Corretiva banco;08/03/2021;;;3,47;24/03/2021;24/03/2021;3,48;B;Mecânica;Corretiva;;FECH
OS90877;REM01-1000-1100-E000005;Corretiva banco;07/09/2021;;;3,23;22/09/2021;22/09/2021;3,23;B;Mecânica;Corretiva;;FECH
OS90878;REM01-1000-1100-E000001;Corretiva banco;07/06/2021;;;2,37;27/06/2021;27/06/2021;2,87;B;Mecânica;Corretiva;;FECH
OS90879;REM01-1000-1200-E000002;Corretiva banco;07/12/2021;;;4,82;22/12/2021;22/12/2021;4,82;B;Elétrica;Corretiva;;FECH
OS90880;REM01-2000-2200-X000005;Corretiva banco;31/03/2021;;;3,72;01/05/2021;01/05/2021;3,48;B;Mecânica;Corretiva;;FECH
OS90881;REM01-2000-2100-X000004;Corretiva banco;28/04/2021;;;1,6;30/05/2021;30/05/2021;2,1;B;Elétrica;Corretiva;;FECH
OS90882;REM01-2000-2100-X000006;Corretiva banco;20/02/2021;;;1,75;09/04/2021;09/04/2021;2;B;Mecânica;Corretiva;;FECH
OS90883;REM01-1000-1200-E000003;Corretiva banco;12/12/2021;;;3,45;27/12/2021;27/12/2021;3,45;B;Mecânica;Corretiva;;FECH
OS90884;REM01-2000-2100-X000001;Corretiva banco;12/09/2021;;;1,87;27/09/2021;27/09/2021;1,87;B;Mecânica;Corretiva;;FECH
OS90885;REM01-2000-2100-X000003;Corretiva banco;01/10/2021;;;2,85;26/10/2021;26/10/2021;3,58;B;Elétrica;Corretiva;;FECH
OS90886;REM01-1000-1200-E000001;Corretiva banco;01/02/2021;;;4,12;25/02/2021;25/02/2021;4,38;B;Mecânica;Corretiva;;FECH
OS90887;REM01-2000-2100-X000005;Corretiva banco;19/02/2021;;;3,57;21/03/2021;21/03/2021;3,57;B;Mecânica;Corretiva;;FECH
OS90888;REM01-2000-2100-X000002;Corretiva banco;07/04/2021;;;1,43;27/05/2021;27/05/2021;2,17;B;Mecânica;Corretiva;;FECH
OS90889;REM01-2000-2200-X000006;Corretiva banco;22/07/2021;;;1,83;06/08/2021;06/08/2021;1,83;B;Automação;Corretiva;;FECH
OS90890;REM01-3000-3200-T000002;Corretiva banco;05/07/2021;;;2,65;20/07/2021;20/07/2021;2,65;B;Automação;Corretiva;;FECH
OS90891;REM01-1000-1200-F000001;Corretiva banco;24/09/2021;;;3,77;09/10/2021;09/10/2021;3,77;B;Elétrica;Corretiva;;FECH
OS90892;REM01-1000-1200-E000003;Corretiva banco;05/10/2021;;;2,63;20/10/2021;20/10/2021;2,63;B;Automação;Corretiva;;FECH
OS90893;REM01-2000-2100-X000006;Corretiva banco;03/02/2021;;;3,72;08/03/2021;09/03/2021;3,25;B;Elétrica;Corretiva;;FECH
OS90894;REM01-1000-1100-E000003;Corretiva banco;07/05/2021;;;2,78;16/05/2021;16/05/2021;3,03;B;Mecânica;Corretiva;;FECH
OS90895;REM01-1000-1200-E000005;Corretiva banco;18/03/2021;;;4,58;07/05/2021;08/05/2021;5,07;B;Automação;Corretiva;;FECH
OS90896;REM01-2000-2200-X000005;Corretiva banco;10/04/2021;;;4,67;07/05/2021;07/05/2021;5,4;B;Mecânica;Corretiva;;FECH
OS90897;REM01-2000-2200-X000003;Corretiva banco;26/04/2021;;;4,72;17/05/2021;17/05/2021;4,72;B;Mecânica;Corretiva;;FECH
OS90898;REM01-2000-2100-X000003;Corretiva banco;01/07/2021;;;3,57;30/07/2021;31/07/2021;3,58;B;Mecânica;Corretiva;;FECH
OS90899;REM01-1000-2200-F000001;Corretiva banco;18/02/2021;;;2,57;15/03/2021;15/03/2021;2,33;B;Automação;Corretiva;;FECH
OS90900;REM01-1000-1100-E000006;Corretiva banco;13/09/2021;;;4,55;30/09/2021;30/09/2021;4,57;B;Elétrica;Corretiva;;FECH
OS90901;REM01-2000-2200-X000004;Corretiva banco;29/05/2021;;;2,68;13/06/2021;14/06/2021;2,68;B;Elétrica;Corretiva;;FECH
OS90902;REM01-2000-2100-X000003;Corretiva banco;01/08/2021;;;4,8;16/08/2021;16/08/2021;4,8;B;Mecânica;Corretiva;;FECH
OS90903;REM01-1000-1200-E000002;Corretiva banco;23/03/2021;;;3,23;10/05/2021;10/05/2021;3;B;Mecânica;Corretiva;;FECH
OS90904;REM01-1000-2200-F000002;Corretiva banco;07/01/2021;;;1;27/01/2021;27/01/2021;1;B;Automação;Corretiva;;FECH
OS90905;REM01-2000-2200-X000002;Corretiva banco;10/08/2021;;;4,1;25/08/2021;25/08/2021;4,1;B;Mecânica;Corretiva;;FECH
OS90906;REM01-2000-2100-X000005;Corretiva banco;01/07/2021;;;2,42;20/07/2021;20/07/2021;1,95;B;Elétrica;Corretiva;;FECH
OS90907;REM01-1000-1200-F000001;Corretiva banco;18/01/2021;;;2,08;26/02/2021;26/02/2021;2,33;B;Elétrica;Corretiva;;FECH
OS90908;REM01-2000-2100-X000002;Corretiva banco;11/04/2021;;;3,83;20/05/2021;20/05/2021;4,33;B;Elétrica;Corretiva;;FECH
OS90909;REM01-3000-3100-C000002;Corretiva banco;11/01/2021;;;2,9;28/02/2021;28/02/2021;3,63;B;Mecânica;Corretiva;;FECH
OS90910;REM01-2000-2200-X000005;Corretiva banco;21/07/2021;;;1,23;19/08/2021;19/08/2021;0,78;B;Mecânica;Corretiva;;FECH
OS90911;REM01-1000-1100-E000003;Corretiva banco;24/01/2021;;;4,17;24/02/2021;24/02/2021;4,18;B;Elétrica;Corretiva;;FECH
OS90912;REM01-3000-3100-C000001;Corretiva banco;28/01/2021;;;4,43;14/03/2021;14/03/2021;4,45;B;Elétrica;Corretiva;;FECH
OS90913;REM01-3000-3100-C000001;Corretiva banco;18/07/2021;;;3,5;02/08/2021;02/08/2021;3,5;B;Elétrica;Corretiva;;FECH
OS90914;REM01-2000-2100-X000003;Corretiva banco;25/09/2021;;;4,2;10/10/2021;10/10/2021;4,2;B;Elétrica;Corretiva;;FECH
OS90915;REM01-1000-1200-E000002;Corretiva banco;31/07/2021;;;2,1;15/08/2021;15/08/2021;2,1;B;Automação;Corretiva;;FECH
OS90916;REM01-2000-2100-X000001;Corretiva banco;02/03/2021;;;4,05;16/04/2021;17/04/2021;4,78;B;Mecânica;Corretiva;;FECH
OS90917;REM01-2000-2100-X000004;Corretiva banco;12/06/2021;;;2,52;29/06/2021;29/06/2021;3;B;Elétrica;Corretiva;;FECH
OS90918;REM01-2000-2100-X000006;Corretiva banco;24/02/2021;;;2,1;24/03/2021;24/03/2021;1,63;B;Mecânica;Corretiva;;FECH
OS90919;REM01-1000-1100-E000001;Corretiva banco;19/05/2021;;;4,92;10/06/2021;10/06/2021;5,17;B;Mecânica;Corretiva;;FECH
OS90920;REM01-1000-1200-E000005;Corretiva banco;10/08/2021;;;3,9;25/08/2021;25/08/2021;3,9;B;Mecânica;Corretiva;;FECH
OS90921;REM01-2000-2100-X000003;Corretiva banco;02/01/2021;;;1,48;22/01/2021;22/01/2021;1,02;B;Mecânica;Corretiva;;FECH
OS90922;REM01-2000-2200-X000002;Corretiva banco;21/06/2021;;;2,03;07/07/2021;07/07/2021;2,05;B;Mecânica;Corretiva;;FECH
OS90923;REM01-3000-3300-C000001;Corretiva banco;18/06/2021;;;2,2;03/07/2021;03/07/2021;2,2;B;Automação;Corretiva;;FECH
OS90924;REM01-2000-2100-X000003;Corretiva banco;24/02/2021;;;2,65;09/04/2021;09/04/2021;2,92;B;Mecânica;Corretiva;;FECH
OS90925;REM01-1000-1200-E000006;Corretiva banco;15/05/2021;;;1,88;05/06/2021;05/06/2021;1,88;B;Elétrica;Corretiva;;FECH
OS90926;REM01-2000-2200-X000001;Corretiva banco;11/05/2021;;;2,25;01/06/2021;01/06/2021;2,25;B;Mecânica;Corretiva;;FECH
OS90927;REM01-1000-1100-E000001;Corretiva banco;05/05/2021;;;3,17;29/05/2021;29/05/2021;3,65;B;Elétrica;Corretiva;;FECH
OS90928;REM01-1000-1100-E000002;Corretiva banco;13/05/2021;;;4,33;23/05/2021;23/05/2021;5,07;B;Mecânica;Corretiva;;FECH
OS90929;REM01-2000-2100-X000003;Corretiva banco;02/05/2021;;;3,45;10/05/2021;10/05/2021;3,95;B;Mecânica;Corretiva;;FECH
OS90930;REM01-2000-2200-X000004;Corretiva banco;12/04/2021;;;5,03;07/05/2021;07/05/2021;5,05;B;Automação;Corretiva;;FECH
OS90931;REM01-1000-1200-F000002;Corretiva banco;14/07/2021;;;1,48;27/10/2021;27/10/2021;1,48;B;Elétrica;Corretiva;;FECH
